bars_held,entry_at,entry_price,exit_at,exit_price,higher_timeframe_agreement,higher_timeframe_bias,market_structure,r_multiple,realized_pnl,regime,side,stance,status,stop_loss,symbol,target,timeframe
36,2022-05-12T11:50:00,33781.6992,2022-05-12T14:50:00,33489.8516,aligned,bearish,LH_LL,1.261,288.0,trend_aligned,sell,short_bias,trailed,34010.0508,BANKNIFTY,33324.996000000014,5m
4,2022-05-12T15:15:00,33570.75,2022-05-13T09:15:00,33759.75,aligned,bearish,LH_LL,-0.4,-75.6,trend_aligned,sell,short_bias,stopped,33759.75,BANKNIFTY,33192.75,5m
47,2022-05-13T09:40:00,33772.1992,2022-05-13T13:35:00,33962.1016,aligned,bearish,LH_LL,-0.4,-75.96,trend_aligned,sell,short_bias,stopped,33962.1016,BANKNIFTY,33392.394400000005,5m
16,2022-05-16T09:20:00,33396.3984,2022-05-16T10:40:00,33787.6016,aligned,bearish,LH_LL,-0.4,-156.48,trend_aligned,sell,short_bias,stopped,33787.6016,BANKNIFTY,32613.99199999999,5m
12,2022-05-16T11:15:00,33712.5,2022-05-16T12:15:00,33546.3516,aligned,bearish,LH_LL,1.452,137.48,trend_aligned,sell,short_bias,trailed,33807.1992,BANKNIFTY,33523.101599999995,5m
9,2022-05-16T12:55:00,33501.3008,2022-05-16T13:40:00,33713.6992,aligned,bearish,LH_LL,-0.4,-84.96,trend_aligned,sell,short_bias,stopped,33713.6992,BANKNIFTY,33076.503999999986,5m
1,2022-05-16T15:30:00,33636.3516,2022-05-17T09:15:00,33818.8008,aligned,bearish,LH_LL,-0.4,-72.98,trend_aligned,sell,short_bias,stopped,33818.8008,BANKNIFTY,33271.45320000001,5m
18,2022-05-19T10:50:00,33540.3008,2022-05-19T12:20:00,33412.9492,aligned,bearish,LH_LL,1.352,114.39,trend_aligned,sell,short_bias,trailed,33624.8984,BANKNIFTY,33371.105599999995,5m
11,2022-05-19T13:25:00,33352.3516,2022-05-19T14:20:00,33262.5508,aligned,bearish,LH_LL,1.091,115.05,trend_aligned,sell,short_bias,trailed,33457.8516,BANKNIFTY,33141.3516,5m
7,2022-05-19T15:00:00,33309.1992,2022-05-20T09:15:00,33390.8516,aligned,bearish,LH_LL,-0.4,-32.66,trend_aligned,sell,short_bias,stopped,33390.8516,BANKNIFTY,33145.894400000005,5m
7,2022-06-09T12:45:00,34890.75,2022-06-09T13:20:00,34827.6016,aligned,bearish,LH_LL,1.119,76.56,trend_aligned,sell,short_bias,trailed,34959.1484,BANKNIFTY,34753.9532,5m
8,2022-06-09T14:05:00,34843.1992,2022-06-09T14:45:00,34959.1484,aligned,bearish,LH_LL,-0.4,-46.38,trend_aligned,sell,short_bias,stopped,34959.1484,BANKNIFTY,34611.30080000001,5m
24,2022-06-10T14:45:00,34435.3984,2022-06-13T10:30:00,33313.0,aligned,bearish,LH_LL,4.624,535.89,trend_aligned,sell,short_bias,trailed,34551.3008,BANKNIFTY,34203.5936,5m
4,2022-06-13T14:50:00,33345.4492,2022-06-13T15:10:00,33381.8984,aligned,bearish,LH_LL,-0.4,-14.58,trend_aligned,sell,short_bias,stopped,33381.8984,BANKNIFTY,33272.55080000001,5m
12,2022-06-14T09:45:00,33305.1016,2022-06-14T10:45:00,33457.6016,aligned,bearish,LH_LL,-0.4,-61.0,trend_aligned,sell,short_bias,stopped,33457.6016,BANKNIFTY,33000.1016,5m
17,2022-06-14T11:45:00,33547.9492,2022-06-14T13:10:00,33342.8984,aligned,bearish,LH_LL,1.924,134.41,trend_aligned,sell,short_bias,trailed,33617.8008,BANKNIFTY,33408.246000000014,5m
4,2022-06-14T15:10:00,33283.8984,2022-06-15T09:15:00,33402.1484,aligned,bearish,LH_LL,-0.4,-47.3,trend_aligned,sell,short_bias,stopped,33402.1484,BANKNIFTY,33047.3984,5m
31,2022-06-15T09:45:00,33296.25,2022-06-15T12:20:00,33471.3008,aligned,bearish,LH_LL,-0.4,-70.02,trend_aligned,sell,short_bias,stopped,33471.3008,BANKNIFTY,32946.148400000005,5m
21,2022-06-15T12:55:00,33456.3984,2022-06-15T14:40:00,33380.5508,aligned,bearish,LH_LL,1.064,102.71,trend_aligned,sell,short_bias,trailed,33552.8984,BANKNIFTY,33263.3984,5m
20,2022-06-16T13:55:00,32861.25,2022-06-17T09:20:00,32494.8496,aligned,bearish,LH_LL,1.226,377.48,trend_aligned,sell,short_bias,trailed,33169.1484,BANKNIFTY,32245.453200000004,5m
8,2022-06-17T09:50:00,32710.75,2022-06-17T10:30:00,32624.0,aligned,bearish,LH_LL,1.038,124.96,trend_aligned,sell,short_bias,trailed,32831.1016,BANKNIFTY,32470.046799999996,5m
48,2022-06-17T10:55:00,32642.5,2022-06-17T14:55:00,32831.1016,aligned,bearish,LH_LL,-0.4,-75.44,trend_aligned,sell,short_bias,stopped,32831.1016,BANKNIFTY,32265.296799999996,5m
2,2022-06-17T15:20:00,32796.8008,2022-06-20T09:15:00,32889.3984,aligned,bearish,LH_LL,-0.4,-37.04,trend_aligned,sell,short_bias,stopped,32889.3984,BANKNIFTY,32611.605599999995,5m
58,2022-06-20T10:00:00,32757.1992,2022-06-20T14:50:00,32569.6992,aligned,bearish,LH_LL,1.2,199.91,trend_aligned,sell,short_bias,trailed,32923.75,BANKNIFTY,32424.097599999997,5m
2,2022-06-20T15:20:00,32695.4004,2022-06-21T09:20:00,32770.4492,aligned,bearish,LH_LL,-0.4,-30.02,trend_aligned,sell,short_bias,stopped,32770.4492,BANKNIFTY,32545.30279999999,5m
10,2022-06-23T14:05:00,33054.9492,2022-06-23T14:55:00,33279.4492,aligned,bearish,LH_LL,-0.4,-89.8,trend_aligned,sell,short_bias,stopped,33279.4492,BANKNIFTY,32605.949200000003,5m
2,2022-07-05T14:00:00,34118.75,2022-07-05T14:10:00,34052.75,aligned,bullish,HH_HL,-0.4,-26.4,trend_aligned,buy,long_bias,stopped,34052.75,BANKNIFTY,34250.75,5m
36,2022-07-06T09:40:00,33992.1484,2022-07-06T12:40:00,34225.3008,aligned,bullish,HH_HL,1.152,267.11,trend_aligned,buy,long_bias,trailed,33760.3516,BANKNIFTY,34455.74199999999,5m
5,2022-07-07T13:45:00,34831.6484,2022-07-07T14:10:00,34680.6992,aligned,bullish,HH_HL,-0.4,-60.38,trend_aligned,buy,long_bias,stopped,34680.6992,BANKNIFTY,35133.54679999999,5m
130,2022-07-08T10:05:00,35083.3984,2022-07-11T14:40:00,35481.8984,aligned,bullish,HH_HL,1.389,346.41,trend_aligned,buy,long_bias,trailed,34834.0508,BANKNIFTY,35582.0936,5m
3,2022-07-11T15:15:00,35432.3008,2022-07-12T09:15:00,35302.5508,aligned,bullish,HH_HL,-0.4,-51.9,trend_aligned,buy,long_bias,stopped,35302.5508,BANKNIFTY,35691.8008,5m
22,2022-07-12T09:45:00,35331.0508,2022-07-12T11:35:00,35236.1992,aligned,bullish,HH_HL,-0.4,-37.94,trend_aligned,buy,long_bias,stopped,35236.1992,BANKNIFTY,35520.753999999986,5m
25,2022-07-12T12:30:00,35288.25,2022-07-12T14:35:00,35364.9492,aligned,bullish,HH_HL,1.123,92.29,trend_aligned,buy,long_bias,trailed,35206.1016,BANKNIFTY,35452.5468,5m
18,2022-07-13T09:20:00,35265.3984,2022-07-13T10:50:00,35053.0508,aligned,bullish,HH_HL,-0.4,-84.94,trend_aligned,buy,long_bias,stopped,35053.0508,BANKNIFTY,35690.0936,5m
8,2022-07-20T13:15:00,36008.8008,2022-07-20T13:55:00,36059.3008,aligned,bullish,HH_HL,1.131,59.99,trend_aligned,buy,long_bias,trailed,35955.75,BANKNIFTY,36114.90239999999,5m
11,2022-07-20T14:30:00,36034.3008,2022-07-20T15:25:00,35946.8984,aligned,bullish,HH_HL,-0.4,-34.96,trend_aligned,buy,long_bias,stopped,35946.8984,BANKNIFTY,36209.105599999995,5m
23,2022-07-21T14:00:00,36160.8516,2022-07-22T09:40:00,36475.0508,aligned,bullish,HH_HL,2.132,193.89,trend_aligned,buy,long_bias,trailed,36069.8984,BANKNIFTY,36342.75800000001,5m
14,2022-07-22T13:25:00,36653.1992,2022-07-22T14:35:00,36744.3008,aligned,bullish,HH_HL,1.246,91.49,trend_aligned,buy,long_bias,trailed,36579.8008,BANKNIFTY,36799.996000000014,5m
4,2022-07-25T09:30:00,36885.6016,2022-07-25T09:50:00,36688.25,aligned,bullish,HH_HL,-0.4,-78.94,trend_aligned,buy,long_bias,stopped,36688.25,BANKNIFTY,37280.304800000005,5m
23,2022-07-25T11:30:00,36557.8516,2022-07-25T13:25:00,36607.3984,aligned,bullish,HH_HL,0.976,85.75,trend_aligned,buy,long_bias,trailed,36469.9492,BANKNIFTY,36733.6564,5m
7,2022-07-25T15:05:00,36751.6016,2022-07-26T09:25:00,36539.9492,aligned,bullish,HH_HL,-0.4,-84.66,trend_aligned,buy,long_bias,stopped,36539.9492,BANKNIFTY,37174.9064,5m
